Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
astrolib   kapteyn    ecliptic   fk4          701.996722   633.431102   804.625649   177.261720
astrolib   pyast      ecliptic   fk4          702.021175   633.459873   804.654739   177.262261
astrolib   pyephem    ecliptic   fk4          701.551122   633.045162   804.441568   177.150752
astrolib   pyslalib   ecliptic   fk4          701.951930   633.399350   804.579373   177.246750
kapteyn    pyast      ecliptic   icrs           0.036183     0.032943     0.041557     0.008885
kapteyn    pyslalib   ecliptic   icrs           0.060109     0.054226     0.068848     0.015144
pyast      pyslalib   ecliptic   icrs           0.075946     0.068819     0.086278     0.018634
kapteyn    pyast      ecliptic   galactic       0.035058     0.031971     0.040328     0.008607
kapteyn    pyephem    ecliptic   galactic       0.007596     0.006915     0.008820     0.001975
kapteyn    pyslalib   ecliptic   galactic       0.060132     0.054337     0.068950     0.015137
pyast      pyephem    ecliptic   galactic       0.035611     0.032560     0.040945     0.008651
pyast      pyslalib   ecliptic   galactic       0.075946     0.068819     0.086278     0.018634
pyephem    pyslalib   ecliptic   galactic       0.056097     0.050907     0.064623     0.014268
astrolib   kapteyn    ecliptic   galactic     701.996508   633.431106   804.625632   177.261710
astrolib   pyast      ecliptic   galactic     702.005371   633.437325   804.632099   177.262090
astrolib   pyephem    ecliptic   galactic     701.992824   633.427225   804.620687   177.260639
astrolib   pyslalib   ecliptic   galactic     701.936125   633.376808   804.556736   177.246582
